Name, City, State, Stars, Category, Review Count
Mercy’s Bakery, Lansdale, PA, 4.0, Mexican, 5
Cheddar's Scratch Kitchen, Fairview Heights, IL, 2.5, American, 187
Famous Sam's Restaurant & Bar, Tucson, AZ, 2.0, American, 25
West Ave Grille Jenkintown Restaurant and Food Truck , Jenkintown, PA, 4.0, American, 277
Amore Mio, Tampa, FL, 4.0, Italian, 29
Wasabi2, West Chester, PA, 4.5, Chinese, 78
Luberto's Brickoven Pizza, Dublin, PA, 4.0, Italian, 96
My Brother’s Bar, Harahan, LA, 4.0, American, 6
YO! Sushi, Tampa, FL, 4.0, Japanese, 121
China One, Indianapolis, IN, 4.0, Chinese, 23
Cinco de Mayo, Old Hickory, TN, 3.5, Mexican, 35
Subway, Santa Barbara, CA, 3.0, Fast Food, 5
Salty Lime Cantina, Palm Harbor, FL, 4.5, Mexican, 103
Paradise Pizza Cafe, Tampa, FL, 2.5, Mediterranean, 7
The Mad Crab, University City, MO, 3.5, Cajun/Creole, 156
Chinese Delight, Wayne, PA, 3.0, Chinese, 52
EATS! American Grill, Tampa, FL, 4.0, American, 323
Southgate, Philadelphia, PA, 4.0, American, 323
New Golden Buffet, Phoenixville, PA, 2.5, Chinese, 30
Andrea's Restaurant, Metairie, LA, 2.5, Italian, 218
Zorba, Temple Terr, FL, 3.5, Mediterranean, 7
Coco's Cocina Tex Mex  Restaurant, Pitman, NJ, 3.5, Mexican, 59
Captain D's, Nashville, TN, 3.5, Fast Food, 14
Epicurean Restaurant & Bar, Phoenixville, PA, 3.0, Italian, 19
5th St. Bakehouse, Reno, NV, 4.0, American, 181
Blueplate, Mullica Hill, NJ, 4.0, Vietnamese, 232
El Rey, Nashville, TN, 3.0, Mexican, 89
New Hong Kong Chinese Restaurant, Seminole, FL, 2.5, Chinese, 18
Salvatore's Trattoria & Pizzeria, King of Prussia, PA, 3.5, Italian, 38
Loco Mexican Restaurant & Cantina, Indianapolis, IN, 4.0, Mexican, 178
Farm Boy Fresh, Malvern, PA, 4.0, American, 11
Ichicoro Ane, Saint Petersburg, FL, 4.0, Japanese, 264
Chinese Express, Ferguson, MO, 4.0, Chinese, 15
Angelina's, Philadelphia, PA, 4.5, Italian, 49
Quesa-D-Ya's, Saint Louis, MO, 3.5, Mexican, 7
Crown Fried Chicken, Philadelphia, PA, 3.5, Fast Food, 11
Raz'z Restaurant, Smyrna, TN, 3.5, Cajun/Creole, 44
Toyama Japanese Steak House, Nashville, TN, 3.0, Chinese, 142
Odessa Family Restaurant, Odessa, FL, 2.5, American, 17
MRCKA's Dojo Pizza, Saint Louis, MO, 4.0, Italian, 10
China Wok, Tampa, FL, 3.5, Chinese, 17
The Little Lamb, Clearwater, FL, 4.5, American, 307
Villagio Cinemas, Tampa, FL, 3.0, Italian, 285
Ob's Pizza Pub & Eatery, Indianapolis, IN, 3.5, American, 10
Mirna's, Jenkintown, PA, 3.5, Mediterranean, 26
Pizza Hut, Kenner, LA, 2.0, Italian, 16
Captain D's, Springfield, TN, 2.0, Fast Food, 10
Taqueria Pico De Gallo, Tucson, AZ, 4.0, Mexican, 397
Burger King, Metairie, LA, 1.5, Fast Food, 23
Old Country Buffet, Fairless Hills, PA, 2.5, American, 27
Gigi and Big R, Philadelphia, PA, 4.0, Caribbean, 81
Twistee Treat - New Tampa, Tampa, FL, 3.5, American, 70
China Spring, Nashville, TN, 3.5, Chinese, 33
Zaxby's Chicken Fingers & Buffalo Wings, Tampa, FL, 3.0, Fast Food, 37
Little Caesars, Franklin, TN, 2.0, American, 14
CAVA, Newtown Square, PA, 5.0, Mediterranean, 5
El Pollo Loco, Reno, NV, 3.0, Fast Food, 73
J Gilbert's Wood-Fired Steaks & Seafood St Louis, Des Peres, MO, 4.0, American, 268
Nom Nom Japanese Kitchen, Paoli, PA, 4.5, Japanese, 35
O Sole Mio, Philadelphia, PA, 4.5, Italian, 85
Suzie Q's Diner, Seminole, FL, 4.0, American, 26
Thai Phooket Smyrna, Smyrna, TN, 4.0, Vietnamese, 76
Kobe Japanese Steakhouse, St. Petersburg, FL, 4.5, Japanese, 91
Pizza Hut, Reno, NV, 2.0, Italian, 48
Gu Wei Noodles & Grill, Tampa, FL, 4.5, Chinese, 40
Sachiko Sushi, Tucson, AZ, 3.5, Japanese, 191
Mi Caribe, Saint Louis, MO, 4.0, Caribbean, 96
Kampai Sushi Bar, St Louis, MO, 4.0, Japanese, 328
Spot House Restaurant and Bar, Florissant, MO, 4.5, Vietnamese, 53
Barra Rossa Ristorante & Wine Bar - Downington, Downingtown, PA, 3.0, Italian, 100
Bhann Thai, Earth City, MO, 3.0, Chinese, 47
Subway, Tampa, FL, 3.0, Fast Food, 14
Izumi, Philadelphia, PA, 4.0, Japanese, 219
